Emma,F,19471,2016.txt
Olivia,F,19327,2016.txt
Ava,F,16283,2016.txt
Sophia,F,16112,2016.txt
Isabella,F,14772,2016.txt
Mia,F,14415,2016.txt
Charlotte,F,13080,2016.txt
Abigail,F,11747,2016.txt
Emily,F,10957,2016.txt
Harper,F,10773,2016.txt
Amelia,F,10753,2016.txt
Evelyn,F,10096,2016.txt
Elizabeth,F,9542,2016.txt
Sofia,F,9161,2016.txt
Madison,F,9014,2016.txt
Avery,F,8759,2016.txt
Ella,F,7898,2016.txt
Scarlett,F,7698,2016.txt
Grace,F,7582,2016.txt
Chloe,F,7453,2016.txt
Victoria,F,7300,2016.txt
Riley,F,7131,2016.txt
Aria,F,6927,2016.txt
Lily,F,6585,2016.txt
Aubrey,F,6527,2016.txt
Zoey,F,6438,2016.txt
Penelope,F,6385,2016.txt
Lillian,F,6353,2016.txt
Addison,F,6316,2016.txt
Layla,F,6259,2016.txt
Natalie,F,6170,2016.txt
Camila,F,6048,2016.txt
Hannah,F,6002,2016.txt
Brooklyn,F,5942,2016.txt
Zoe,F,5737,2016.txt
Nora,F,5583,2016.txt
Leah,F,5406,2016.txt
Savannah,F,5358,2016.txt
Audrey,F,5347,2016.txt
Claire,F,5207,2016.txt
Eleanor,F,5128,2016.txt
Skylar,F,5113,2016.txt
Ellie,F,5060,2016.txt
Samantha,F,4946,2016.txt
Stella,F,4925,2016.txt
Paisley,F,4858,2016.txt
Violet,F,4858,2016.txt
Mila,F,4818,2016.txt
Anna,F,4775,2016.txt
Allison,F,4770,2016.txt
Alexa,F,4766,2016.txt
Hazel,F,4663,2016.txt
Aaliyah,F,4636,2016.txt
Lucy,F,4592,2016.txt
Ariana,F,4591,2016.txt
Caroline,F,4422,2016.txt
Sarah,F,4402,2016.txt
Genesis,F,4336,2016.txt
Kennedy,F,4322,2016.txt
Sadie,F,4280,2016.txt
Gabriella,F,4239,2016.txt
Madelyn,F,4226,2016.txt
Adeline,F,4112,2016.txt
Maya,F,4075,2016.txt
Autumn,F,4022,2016.txt
Aurora,F,3983,2016.txt
Piper,F,3943,2016.txt
Hailey,F,3932,2016.txt
Arianna,F,3883,2016.txt
Ruby,F,3826,2016.txt
Kaylee,F,3824,2016.txt
Serenity,F,3816,2016.txt
Eva,F,3795,2016.txt
Naomi,F,3791,2016.txt
Nevaeh,F,3778,2016.txt
Alice,F,3678,2016.txt
Luna,F,3663,2016.txt
Bella,F,3654,2016.txt
Quinn,F,3644,2016.txt
Lydia,F,3606,2016.txt
Peyton,F,3494,2016.txt
Melanie,F,3481,2016.txt
Kylie,F,3407,2016.txt
Aubree,F,3405,2016.txt
Mackenzie,F,3400,2016.txt
Cora,F,3367,2016.txt
Kinsley,F,3366,2016.txt
Julia,F,3323,2016.txt
Madeline,F,3273,2016.txt
Katherine,F,3271,2016.txt
Taylor,F,3271,2016.txt
Gianna,F,3218,2016.txt
Eliana,F,3198,2016.txt
Elena,F,3178,2016.txt
Vivian,F,3140,2016.txt
Willow,F,3103,2016.txt
Reagan,F,3091,2016.txt
Brianna,F,3085,2016.txt
Clara,F,3066,2016.txt
Faith,F,3053,2016.txt
Ashley,F,3036,2016.txt
Emilia,F,3026,2016.txt
Isabelle,F,3025,2016.txt
Annabelle,F,2991,2016.txt
Rylee,F,2960,2016.txt
Valentina,F,2913,2016.txt
Everly,F,2889,2016.txt
Hadley,F,2878,2016.txt
Sophie,F,2864,2016.txt
Alexandra,F,2844,2016.txt
Natalia,F,2818,2016.txt
Ivy,F,2816,2016.txt
Maria,F,2799,2016.txt
Josephine,F,2784,2016.txt
Delilah,F,2725,2016.txt
Bailey,F,2698,2016.txt
Jade,F,2693,2016.txt
Alexis,F,2677,2016.txt
Ximena,F,2677,2016.txt
Alyssa,F,2667,2016.txt
Brielle,F,2659,2016.txt
Jasmine,F,2637,2016.txt
Liliana,F,2633,2016.txt
Adalynn,F,2589,2016.txt
Khloe,F,2531,2016.txt
Isla,F,2514,2016.txt
Mary,F,2504,2016.txt
Andrea,F,2477,2016.txt
Kayla,F,2461,2016.txt
Emery,F,2417,2016.txt
London,F,2349,2016.txt
Morgan,F,2328,2016.txt
Kimberly,F,2326,2016.txt
Lauren,F,2318,2016.txt
Sydney,F,2316,2016.txt
Nova,F,2278,2016.txt
Trinity,F,2225,2016.txt
Lyla,F,2219,2016.txt
Margaret,F,2212,2016.txt
Ariel,F,2185,2016.txt
Adalyn,F,2181,2016.txt
Athena,F,2171,2016.txt
Lilly,F,2146,2016.txt
Melody,F,2134,2016.txt
Isabel,F,2108,2016.txt
Jordyn,F,2102,2016.txt
Jocelyn,F,2096,2016.txt
Eden,F,2084,2016.txt
Paige,F,2046,2016.txt
Teagan,F,2041,2016.txt
Valeria,F,2036,2016.txt
Sara,F,2032,2016.txt
Rose,F,2027,2016.txt
Norah,F,2024,2016.txt
Aliyah,F,1997,2016.txt
Mckenzie,F,1987,2016.txt
Molly,F,1981,2016.txt
Raelynn,F,1976,2016.txt
Leilani,F,1962,2016.txt
Emerson,F,1960,2016.txt
Valerie,F,1957,2016.txt
Juliana,F,1948,2016.txt
Nicole,F,1947,2016.txt
Laila,F,1943,2016.txt
Makayla,F,1925,2016.txt
Mariah,F,1916,2016.txt
Elise,F,1911,2016.txt
Mya,F,1909,2016.txt
Arya,F,1895,2016.txt
Ryleigh,F,1880,2016.txt
Adaline,F,1876,2016.txt
Rachel,F,1869,2016.txt
Brooke,F,1861,2016.txt
Eliza,F,1861,2016.txt
Angelina,F,1847,2016.txt
Amy,F,1836,2016.txt
Cecilia,F,1824,2016.txt
Reese,F,1819,2016.txt
Alina,F,1817,2016.txt
Londyn,F,1814,2016.txt
Gracie,F,1806,2016.txt
Esther,F,1805,2016.txt
Payton,F,1795,2016.txt
Alaina,F,1764,2016.txt
Charlie,F,1759,2016.txt
Iris,F,1745,2016.txt
Arabella,F,1736,2016.txt
Genevieve,F,1728,2016.txt
Finley,F,1722,2016.txt
Daisy,F,1721,2016.txt
Harmony,F,1713,2016.txt
Anastasia,F,1702,2016.txt
Kendall,F,1697,2016.txt
Catherine,F,1666,2016.txt
Daniela,F,1666,2016.txt
Adelyn,F,1663,2016.txt
Vanessa,F,1657,2016.txt
Juliette,F,1655,2016.txt
Brooklynn,F,1653,2016.txt
Julianna,F,1602,2016.txt
Presley,F,1599,2016.txt
Summer,F,1596,2016.txt
Destiny,F,1587,2016.txt
Amaya,F,1576,2016.txt
Hayden,F,1575,2016.txt
Rebecca,F,1574,2016.txt
Alana,F,1570,2016.txt
Eloise,F,1562,2016.txt
Michelle,F,1560,2016.txt
Fiona,F,1557,2016.txt
Lila,F,1556,2016.txt
Callie,F,1537,2016.txt
Lucia,F,1520,2016.txt
Angela,F,1507,2016.txt
Marley,F,1493,2016.txt
Adriana,F,1490,2016.txt
Parker,F,1474,2016.txt
Alexandria,F,1468,2016.txt
Giselle,F,1462,2016.txt
Alivia,F,1460,2016.txt
Alayna,F,1435,2016.txt
Ana,F,1432,2016.txt
Brynlee,F,1431,2016.txt
Harley,F,1426,2016.txt
Gabrielle,F,1417,2016.txt
Georgia,F,1412,2016.txt
Dakota,F,1411,2016.txt
Juliet,F,1395,2016.txt
Kate,F,1388,2016.txt
Tessa,F,1388,2016.txt
Leila,F,1387,2016.txt
Jayla,F,1382,2016.txt
Jessica,F,1379,2016.txt
Lola,F,1377,2016.txt
Sienna,F,1371,2016.txt
Stephanie,F,1369,2016.txt
Josie,F,1358,2016.txt
Daleyza,F,1350,2016.txt
Rowan,F,1348,2016.txt
Hope,F,1334,2016.txt
Evangeline,F,1333,2016.txt
Maggie,F,1318,2016.txt
Camille,F,1302,2016.txt
Makenzie,F,1302,2016.txt
Vivienne,F,1279,2016.txt
Sawyer,F,1277,2016.txt
Gemma,F,1270,2016.txt
Joanna,F,1265,2016.txt
Noelle,F,1263,2016.txt
Elliana,F,1260,2016.txt
Mckenna,F,1250,2016.txt
Rosalie,F,1246,2016.txt
Gabriela,F,1245,2016.txt
Kinley,F,1245,2016.txt
Adelaide,F,1237,2016.txt
Brynn,F,1235,2016.txt
Ayla,F,1234,2016.txt
Amiyah,F,1231,2016.txt
Melissa,F,1231,2016.txt
Malia,F,1229,2016.txt
Izabella,F,1219,2016.txt
Delaney,F,1206,2016.txt
Journey,F,1202,2016.txt
Cali,F,1196,2016.txt
Maci,F,1190,2016.txt
Sloane,F,1190,2016.txt
Elaina,F,1188,2016.txt
June,F,1187,2016.txt
Diana,F,1179,2016.txt
Blakely,F,1175,2016.txt
Aniyah,F,1163,2016.txt
Olive,F,1160,2016.txt
Jennifer,F,1159,2016.txt
Paris,F,1157,2016.txt
Miranda,F,1138,2016.txt
Lena,F,1137,2016.txt
Lyric,F,1134,2016.txt
Jacqueline,F,1132,2016.txt
Jane,F,1132,2016.txt
Raegan,F,1131,2016.txt
Lilliana,F,1130,2016.txt
Paislee,F,1130,2016.txt
Lucille,F,1128,2016.txt
Adelynn,F,1126,2016.txt
River,F,1124,2016.txt
Selena,F,1122,2016.txt
Cassidy,F,1119,2016.txt
Thea,F,1119,2016.txt
Jordan,F,1118,2016.txt
Annie,F,1117,2016.txt
Miriam,F,1115,2016.txt
Mariana,F,1113,2016.txt
Amina,F,1101,2016.txt
Haven,F,1100,2016.txt
Charlee,F,1098,2016.txt
Remi,F,1098,2016.txt
Blake,F,1095,2016.txt
Ruth,F,1094,2016.txt
Lilah,F,1086,2016.txt
Amara,F,1082,2016.txt
Kali,F,1080,2016.txt
Kylee,F,1074,2016.txt
Emersyn,F,1071,2016.txt
Arielle,F,1070,2016.txt
Alessandra,F,1067,2016.txt
Fatima,F,1064,2016.txt
Vera,F,1058,2016.txt
Talia,F,1056,2016.txt
Nina,F,1043,2016.txt
Ariah,F,1042,2016.txt
Addilyn,F,1036,2016.txt
Allie,F,1036,2016.txt
Keira,F,1034,2016.txt
Catalina,F,1030,2016.txt
Phoebe,F,1028,2016.txt
Raelyn,F,1026,2016.txt
Lexi,F,1023,2016.txt
Zara,F,1021,2016.txt
Makenna,F,1018,2016.txt
Ember,F,1015,2016.txt
Haley,F,1009,2016.txt
Leia,F,1009,2016.txt
Angel,F,1007,2016.txt
Rylie,F,1005,2016.txt
Madilyn,F,1000,2016.txt
Heaven,F,997,2016.txt
Amanda,F,996,2016.txt
Nyla,F,996,2016.txt
Freya,F,995,2016.txt
Kaitlyn,F,995,2016.txt
Danielle,F,990,2016.txt
Journee,F,989,2016.txt
Daniella,F,988,2016.txt
Kenzie,F,986,2016.txt
Lia,F,985,2016.txt
Maddison,F,983,2016.txt
Ariella,F,982,2016.txt
Brinley,F,980,2016.txt
Elsie,F,979,2016.txt
Shelby,F,979,2016.txt
Kamila,F,976,2016.txt
Camilla,F,973,2016.txt
Alison,F,969,2016.txt
Ainsley,F,965,2016.txt
Laura,F,963,2016.txt
Ada,F,962,2016.txt
Kendra,F,958,2016.txt
Kayleigh,F,954,2016.txt
Madeleine,F,954,2016.txt
Juniper,F,952,2016.txt
Adrianna,F,950,2016.txt
Joy,F,947,2016.txt
Sage,F,935,2016.txt
Chelsea,F,929,2016.txt
Erin,F,925,2016.txt
Felicity,F,918,2016.txt
Gracelyn,F,912,2016.txt
Nadia,F,912,2016.txt
Briella,F,910,2016.txt
Skyler,F,907,2016.txt
Aspen,F,900,2016.txt
Myla,F,895,2016.txt
Katie,F,890,2016.txt
Zuri,F,889,2016.txt
Heidi,F,888,2016.txt
Jenna,F,888,2016.txt
Kyla,F,885,2016.txt
Kaia,F,883,2016.txt
Kira,F,880,2016.txt
Sabrina,F,877,2016.txt
Gracelynn,F,873,2016.txt
Gia,F,872,2016.txt
Amira,F,870,2016.txt
Amber,F,869,2016.txt
Alexia,F,867,2016.txt
Katelyn,F,867,2016.txt
Cadence,F,866,2016.txt
