Emily,F,25151,1996.txt
Jessica,F,24194,1996.txt
Ashley,F,23677,1996.txt
Sarah,F,21036,1996.txt
Samantha,F,20548,1996.txt
Taylor,F,19151,1996.txt
Hannah,F,18595,1996.txt
Alexis,F,16589,1996.txt
Rachel,F,16115,1996.txt
Elizabeth,F,15995,1996.txt
Kayla,F,15269,1996.txt
Megan,F,14768,1996.txt
Amanda,F,13974,1996.txt
Brittany,F,13796,1996.txt
Madison,F,13410,1996.txt
Lauren,F,12596,1996.txt
Brianna,F,11925,1996.txt
Victoria,F,11857,1996.txt
Jennifer,F,11728,1996.txt
Stephanie,F,11642,1996.txt
Courtney,F,11343,1996.txt
Nicole,F,11132,1996.txt
Alyssa,F,11021,1996.txt
Rebecca,F,10624,1996.txt
Morgan,F,10292,1996.txt
Alexandra,F,10023,1996.txt
Amber,F,9770,1996.txt
Jasmine,F,9708,1996.txt
Danielle,F,9285,1996.txt
Haley,F,9040,1996.txt
Katherine,F,8875,1996.txt
Abigail,F,8604,1996.txt
Anna,F,8565,1996.txt
Olivia,F,8123,1996.txt
Shelby,F,7949,1996.txt
Kelsey,F,7655,1996.txt
Maria,F,7593,1996.txt
Allison,F,7453,1996.txt
Sydney,F,7258,1996.txt
Kaitlyn,F,7240,1996.txt
Kimberly,F,7175,1996.txt
Melissa,F,7169,1996.txt
Savannah,F,6998,1996.txt
Mary,F,6956,1996.txt
Brooke,F,6725,1996.txt
Natalie,F,6692,1996.txt
Michelle,F,6596,1996.txt
Julia,F,6312,1996.txt
Jordan,F,6297,1996.txt
Sara,F,6287,1996.txt
Erin,F,6256,1996.txt
Tiffany,F,6157,1996.txt
Emma,F,6143,1996.txt
Gabrielle,F,5887,1996.txt
Chelsea,F,5865,1996.txt
Destiny,F,5856,1996.txt
Christina,F,5803,1996.txt
Sabrina,F,5773,1996.txt
Marissa,F,5752,1996.txt
Vanessa,F,5744,1996.txt
Andrea,F,5669,1996.txt
Sierra,F,5487,1996.txt
Mariah,F,5445,1996.txt
Katelyn,F,5421,1996.txt
Paige,F,5342,1996.txt
Laura,F,5227,1996.txt
Madeline,F,4911,1996.txt
Cheyenne,F,4865,1996.txt
Jacqueline,F,4863,1996.txt
Kristen,F,4851,1996.txt
Heather,F,4758,1996.txt
Briana,F,4735,1996.txt
Kelly,F,4734,1996.txt
Breanna,F,4700,1996.txt
Mackenzie,F,4596,1996.txt
Miranda,F,4568,1996.txt
Alexandria,F,4562,1996.txt
Caroline,F,4465,1996.txt
Erica,F,4459,1996.txt
Shannon,F,4337,1996.txt
Monica,F,4325,1996.txt
Katie,F,4318,1996.txt
Jenna,F,4286,1996.txt
Caitlin,F,4270,1996.txt
Bailey,F,4191,1996.txt
Lindsey,F,4112,1996.txt
Kathryn,F,4101,1996.txt
Amy,F,4068,1996.txt
Cassandra,F,4016,1996.txt
Angela,F,3864,1996.txt
Alicia,F,3860,1996.txt
Crystal,F,3787,1996.txt
Hailey,F,3761,1996.txt
Grace,F,3742,1996.txt
Catherine,F,3738,1996.txt
Jamie,F,3600,1996.txt
Angelica,F,3404,1996.txt
Leah,F,3321,1996.txt
Molly,F,3311,1996.txt
Alexa,F,3260,1996.txt
Cynthia,F,3189,1996.txt
Michaela,F,3176,1996.txt
Kaitlin,F,3135,1996.txt
Autumn,F,3109,1996.txt
Margaret,F,3104,1996.txt
Erika,F,3078,1996.txt
Diana,F,2951,1996.txt
Karina,F,2867,1996.txt
Cassidy,F,2844,1996.txt
Kaylee,F,2804,1996.txt
Kylie,F,2798,1996.txt
Chloe,F,2781,1996.txt
Meghan,F,2773,1996.txt
Veronica,F,2744,1996.txt
Brittney,F,2741,1996.txt
Claire,F,2737,1996.txt
Bethany,F,2698,1996.txt
Leslie,F,2664,1996.txt
Melanie,F,2664,1996.txt
Hayley,F,2577,1996.txt
Casey,F,2550,1996.txt
Dominique,F,2547,1996.txt
Bianca,F,2523,1996.txt
Daisy,F,2514,1996.txt
Sophia,F,2513,1996.txt
Carly,F,2511,1996.txt
Jocelyn,F,2508,1996.txt
Rachael,F,2485,1996.txt
