Mary,F,63162,1955.txt
Deborah,F,52317,1955.txt
Linda,F,51291,1955.txt
Debra,F,50555,1955.txt
Susan,F,47397,1955.txt
Patricia,F,46221,1955.txt
Barbara,F,33602,1955.txt
Karen,F,33215,1955.txt
Nancy,F,30016,1955.txt
Donna,F,27943,1955.txt
Cynthia,F,27185,1955.txt
Pamela,F,26697,1955.txt
Sandra,F,25110,1955.txt
Diane,F,23295,1955.txt
Sharon,F,22044,1955.txt
Carol,F,22042,1955.txt
Kathleen,F,22004,1955.txt
Brenda,F,19124,1955.txt
Cheryl,F,19103,1955.txt
Janet,F,17914,1955.txt
Elizabeth,F,16696,1955.txt
Kathy,F,15326,1955.txt
Denise,F,14559,1955.txt
Margaret,F,14436,1955.txt
Janice,F,13173,1955.txt
Teresa,F,13125,1955.txt
Rebecca,F,12396,1955.txt
Catherine,F,11625,1955.txt
Joyce,F,11275,1955.txt
Carolyn,F,11173,1955.txt
Judith,F,10430,1955.txt
Judy,F,10372,1955.txt
Robin,F,10217,1955.txt
Beverly,F,9994,1955.txt
Connie,F,9977,1955.txt
Betty,F,9929,1955.txt
Shirley,F,9750,1955.txt
Theresa,F,9620,1955.txt
Paula,F,9584,1955.txt
Christine,F,9034,1955.txt
Laura,F,9008,1955.txt
Gail,F,8967,1955.txt
Ann,F,8912,1955.txt
Cathy,F,8662,1955.txt
Bonnie,F,8635,1955.txt
Gloria,F,8560,1955.txt
Joan,F,8554,1955.txt
Lisa,F,8536,1955.txt
Marilyn,F,8409,1955.txt
Jane,F,8337,1955.txt
Peggy,F,7984,1955.txt
Vicki,F,7979,1955.txt
Martha,F,7931,1955.txt
Rose,F,7855,1955.txt
Diana,F,7846,1955.txt
Sherry,F,7764,1955.txt
Jo,F,7665,1955.txt
Sheila,F,7664,1955.txt
Kathryn,F,7644,1955.txt
Jean,F,7483,1955.txt
Wanda,F,7416,1955.txt
Lynn,F,7353,1955.txt
Debbie,F,7248,1955.txt
Katherine,F,7241,1955.txt
Dorothy,F,7239,1955.txt
Virginia,F,6855,1955.txt
Julie,F,6785,1955.txt
Vickie,F,6639,1955.txt
Maria,F,6203,1955.txt
Ruth,F,6183,1955.txt
Rhonda,F,6166,1955.txt
Rita,F,6092,1955.txt
Jacqueline,F,6042,1955.txt
Phyllis,F,5689,1955.txt
Kim,F,5686,1955.txt
Darlene,F,5643,1955.txt
Elaine,F,5638,1955.txt
Helen,F,5594,1955.txt
Cindy,F,5589,1955.txt
Valerie,F,5509,1955.txt
Ellen,F,5474,1955.txt
Victoria,F,5357,1955.txt
Terry,F,5354,1955.txt
Anne,F,5215,1955.txt
Terri,F,5153,1955.txt
Suzanne,F,5133,1955.txt
Alice,F,5074,1955.txt
Joanne,F,4987,1955.txt
Lori,F,4975,1955.txt
Laurie,F,4953,1955.txt
